,id,user_name,user_followers,user_verified,date,text,retweets,favorites,is_retweet
0,1452341957611724811,Kamal,176,False,2021-07-25 18:31:20,"@Atheist_Krishna @narendramodi Olympic was instant credit game. Ek phone full media coverage and credit ☑️. 
Aaj ye… https://t.co/TtIbGUrxGF",0,5,False
0,1452335101266829313,Langley Advance Times,8310,False,2021-07-25 18:04:05,Canada beats U.S. 3-1 in pre-Olympic women’s hockey game https://t.co/DTRD317gmA,0,4,False
0,1452329077826850816,Rajan Tyagi,319,False,2021-07-25 17:40:09,"Pakistan has its own Olympic. 
Every 4 years they beat India in one cricket game and celebrate it for next 4 years.… https://t.co/ZT1wcHXXSt",0,4,False
0,1452328958129807368,Kuptaan 🇮🇳,17547,False,2021-07-25 17:39:41,Cricket is neither olympic sport nor our national game. why cry ?,2,29,False
0,1452328653245882373,Saracens Supporters,4060,False,2021-07-25 17:38:28,🎶 And music in the Olympic Bar after the game 🎶 https://t.co/ZSiC1texbv,2,8,False
0,1452317232319565833,Stefany Monica,116,False,2021-07-25 16:53:05,Congrats Viktor! A well deserved win! Lost your way at the end of first game - playing Momota’ games &amp; get back con… https://t.co/7xdjQmEOKl,1,6,False
0,1452312704635621378,chocochip,170,False,2021-07-25 16:35:06,OKAYY but only momota has managed to drag Axelsen to the Rubber game after Axelsen became the Olympic champion in T… https://t.co/8Po80gyr8t,5,10,False
0,1452304747587907590,Devin Heroux,55533,True,2021-07-25 16:03:28,"Grand Slam women's final right now.

Jones vs Fleury

These two play in the final game of the round robin at the Ol… https://t.co/Ponrcex6Nv",2,79,False
0,1452302519531679748,GurukulDr.SukanyaSubbannaIyer,9809,False,2021-07-25 15:54:37,Why @TataCLiQ ....you weren't able to find people from other Fraternity especially Men &amp; Women Hockey Team who play… https://t.co/uSRrGv9F1v,2,4,False
0,1452283788361351179,Alan Smith,483,False,2021-07-25 14:40:11,@RetroZo_ Officially licensed Olympic video games - so that’s the ‘normal’ ones and Mario &amp; Sonic - got most of the… https://t.co/H2s1R7lkAB,0,9,False
0,1452255333993361417,Liz.,196,False,2021-07-25 12:47:07,definitely not regretting my decision to go for a run in the olympic park without checking to see if there’s a west… https://t.co/DUyq2hKFUp,0,6,False
0,1452244953795645446,Next Level/OVBVA,289,False,2021-07-25 12:05:53,Will never let this picture die. It’s how we grow the game. Olympic great @JenniferKessy and @AprilRossBeach came t… https://t.co/Ui2szCMZ8Y,0,9,False
0,1452235251577667587,Mina°~noru,187,False,2021-07-25 11:27:19,Shame on @isu_Figure @skatingjapan for assigning this person and promoting her to an international ISU judge 😤😤😡!… https://t.co/3cAnAdp4xh,12,26,False
0,1452228768173547521,leeds.dan,0,False,2021-07-25 11:01:34,@ezzalodge @LUFC You showed a still image. Show the foul next time mate. Or Jimenez Olympic diving highlights for the game,0,14,False
0,1452141452247527428,♡ Alexis ♡,286,False,2021-07-25 05:14:36,when she was literally the only player/official to not kneel during the Olympic game vs Australia 🥱 byeeeeeeeee https://t.co/tvQh3jPtKe,0,10,False
0,1452110596850126849,Jackson 🇦🇺🇧🇼,89,False,2021-07-25 03:11:59,"@KGsGOAT Amazing, the game is the most fun to watch in years. The olympic refereeing seems to have impacted the lea… https://t.co/SSciF8fbEz",0,8,False
0,1452080437866663944,Mike Harrington,29289,True,2021-07-25 01:12:09,Looks like a classic second game of a back to back. Challenge all teams will face in an Olympic year. https://t.co/Zi340ejhOj,1,5,False
0,1452068697846083586,Sacred Warrior,355,False,2021-07-25 00:25:30,"@overtime Most 3-pointers in a single game,
Most points in a quarter, 
Only player to ever score 60 points while pl… https://t.co/uMZvEEaNIs",0,11,False
0,1452068438126465031,Sacred Warrior,355,False,2021-07-25 00:24:28,"@BleacherReport @Money23Green Most 3-pointers in a single game,
Most points in a quarter, 
Only player to ever scor… https://t.co/GybzpHjwhS",0,6,False
0,1452036504042319880,Sportsnet,839690,True,2021-07-25 22:17:34,Christine Sinclair added to her record tally with her 188th international goal as Canada rolled to a 5-1 win over N… https://t.co/Cya67Wj8hT,0,23,False
0,1452025201781350401,Paulo Senra,3965,True,2021-07-25 21:32:40,"These little things matter: unless I’m missing it but almost 1hr after final whistle, no post from our two sports b… https://t.co/MPEz2cPFk3",2,28,False
0,1452023208023142401,Team Canada,738911,True,2021-07-25 21:24:44,"It’s worth celebrating! 🥳🔥 #CANWNTGold

The Olympic Champions ⚽️🥇 kicked off the Celebration Tour with a win!

➡️ T… https://t.co/wGjSXk0h7H",49,419,False
0,1452020513010761733,StaleMates,6448,False,2021-07-25 21:14:02,Jake Varner in the house at the Iowa State vs. Oklahoma State game. Another Olympic Gold Medalist from Iowa State i… https://t.co/xZjhNBwUFa,13,148,False
0,1451983516300988426,molly,146,False,2021-07-25 18:47:01,The Beckie Christmas card is going to be like “this is our daughter Janine. won olympic gold…this is our son Drew..… https://t.co/01Gb68eUr7,2,19,False
0,1451970473991024642,Founders,8750,False,2021-07-25 17:55:11,When he was on The Dream Team he was surprised to learn how lazy his Olympic teammates were about practice. This pa… https://t.co/ocjegsB5ZY,0,4,False
0,1451967037304184837,Roberto  Gallo,202,False,2021-07-25 17:41:32,Women’s Cross Country &amp; Track Alumnus Dr Kayla Gallo joins the NewZealand Women’s National Soccer Team as one of th… https://t.co/iMerkM2C9J,1,22,False
0,1451950485603241990,TC Roberson Volleyball,39,False,2021-07-25 16:35:46,"🚨🚨It’s Game Day!!🚨🚨

🆚 Olympic High School 
📍 Roy E. “Buddy” Baldwin Gym
⏰  6:00 pm 
🎟 At the door🚪or on GoFan
📺 NF… https://t.co/jptjpB48gb",2,5,False
0,1451949320111017986,San Antonio Spurs,3479173,True,2021-07-25 16:31:08,"Parker, CO native @Dwhite921 spent time with a few Special Olympic Athletes from his high school he invited to our… https://t.co/nWuuBR5WvU",35,308,False
0,1451945776129642498,Jackie Perez CTV News,2679,False,2021-07-25 16:17:03,"“It gives me chills thinking about what an incredible experience it’s going to be.” 

Canada's Olympic champion wom… https://t.co/GZQSy0BeUQ",0,7,False
0,1451914655216115726,Steve,1924,False,2021-07-25 14:13:23,#OnThisDay in 1983 – Craig Martin notched the game-winner for the hosts @CanadaSoccerEN as it defeated… https://t.co/YRhxkexN2O,3,15,False
0,1451912914496102413,Meaghen Johnson,1206,False,2021-07-25 14:06:28,It's game day for #CanWNT/#CanXNT. ICYMI - catch up on what Canada's 22 gold medallists have been up to since Tokyo… https://t.co/2vQkFE0OE4,2,12,False
0,1451902209814405123,Sergio & Associates™️ 2.0,141,False,2021-07-25 13:23:56,@Sid_Seixeiro @DaveyUpper So…. What the over under on game coached this season for Keefe? We saying Olympic break h… https://t.co/GvhXahOcnO,1,5,False
0,1451901329488715784,Canadian Women & Sport | Femmes et sport au Canada,19673,False,2021-07-25 13:20:26,"Congrats to @emclark13, who scored twice, including the go-ahead goal, as 🇨🇦 beat 🇺🇸 3-1 in Game 1 of a nine-game… https://t.co/PWkoRqSuTK",2,5,False
0,1451897695690366980,吴鹏 Wu Peng,11958,False,2021-07-25 13:06:00,"As Winter #Olympic Games coming soon, #African youth became one of the first guests to visit the stadiums, experien… https://t.co/XKjezuvVO4",16,35,False
0,1451896241152045065,TSN,849833,True,2021-07-25 13:00:13,"Canada beats US in pre-Olympic women's hockey game.

MORE: https://t.co/fNe6MDEySd https://t.co/K3amFcLQYS",6,129,False
0,1451892267594178567,kristina victoria,769,False,2021-07-25 12:44:26,Game day ⚽️🥇🇨🇦 time to kick off the Olympic champion celebration tour. Let’s gooooo ladies @CANWNT #TeamCanada,0,5,False
0,1451866044105117697,CTV News,1188492,True,2021-07-25 11:00:13,Canada beats U.S. 3-1 in pre-Olympic women's hockey game https://t.co/s6rL1i8KET https://t.co/RUh8DdLZzB,20,462,False
0,1451832798759714821,Haineko★Mikemalcom,32,False,2021-07-25 08:48:07,@Fran_klymydear Most skaters do what they need instead of what they should. He's already been crowned Olympic champ… https://t.co/5x1HCdq3e8,0,5,False
0,1451811878485696512,식은고기,745,False,2021-07-25 07:24:59,watching squid game people make dalgona at olympic park rn,1,5,False
